date,source_image,months,samvatsara,shakaYear,rashi,sunrise,sunset,quote,event_01,event_02,event_03,event_04,event_05,event_06,event_07,event_08,event_09,event_10,event_11,event_12,event_13,tithi_name,tithi_end_time,nakshatra_name,nakshatra_end_time,yoga_name,yoga_end_time,karana_name,karana_end_time,ayana,ritu,solarYear,paksha,solarRashi,chandraEntryRashi,rahuKala_prefix,rahuKala_from,rahuKala_to,rahuKala_prefix_2,rahuKala_from_2,rahuKala_to_2,gulikaKala_prefix,gulikaKala_from,gulikaKala_to,gulikaKala_prefix_2,gulikaKala_from_2,gulikaKala_to_2,yamaganda_prefix,yamaganda_from,yamaganda_to,yamaganda_prefix_2,yamaganda_from_2,yamaganda_to_2,arthaPrahara_prefix,arthaPrahara_from,arthaPrahara_to,arthaPrahara_prefix_2,arthaPrahara_from_2,arthaPrahara_to_2,shubhaSamaya_prefix,shubhaSamaya_from,shubhaSamaya_to,shubhaSamaya_prefix_2,shubhaSamaya_from_2,shubhaSamaya_to_2,ಮೇಷ,ವೃಷಭ,ಮಿಥುನ,ಕರ್ಕಾಟಕ,ಸಿಂಹ,ಕನ್ಯಾ,ತುಲಾ,ವೃಶ್ಚಿಕ,ಧನಸ್ಸು,ಮಕರ,ಕುಂಭ,ಮೀನ
01-01-2026,data\2026\01\01-01-2026.jpg,ಪುಷ್ಯ/ಮಾಘ,ವಿಶ್ವಾವಸು,1947,ಧನು/ಮಕರ,06:41,18:04,ಇಸ ವರ್ಷದ ಹಾರ್ದಿಕ ಶುಬಾಶಯಗ,ಹೊಸ ವರ್ಷಾರಂಭ,ಕೋಳಿವಾಡ ಕುಮಾರವ್ಯಾಸ,ಜಯಂತಿ,ಶ್ರೀ ಶಿವನಸಮುದ್ರ ರಂಗನಾಥ,ಮಲ್ಲಿಕಾರ್ಜುನ,ಮಠ ಗಂಗಾವತಿ ಶ್ರೀ ಚನ್ನಬಸವ ಶಿವಯೋಗ ರಥಗಳು,ಅಮರಶಿಲ್ಪಿ ಶ್ರೀ ಜಕಣಾಚಾರಿಯವರ ಜಯಂತಿ.,,,,,,,ತ್ರಯೋದಶಿ,22.23,ರೋಹಿಣಿ,22.49,೫೫೪,17.13,ಕೌಲವ,12.07,ಉತ್ತರಾಯಣ,ಸೌರ ಶಿಶಿರ,17,ಕೃಷ್ಣ,"ದನಸು,",ವೃಷಭ,ಮ.,01:30,03:00,,,,ಬೆ.,09:00,10:30,,,,ಬೆ.,06:00,0731,,,,ಮ.,03:00,04:30,,,,ಸ.,07:57,09:23,,,,ಒಳ್ಳೆಯದು,ಲಾಭ,ಸೌಮೃತೆ,ಸ್ಪರ್ಧೆ,ಸ್ನೇಹ,ಪ್ರೋತ್ಸಾಹ,ಕುತೂಹಲ,ಗಮನ,ಸಹಾಯ,ಯಶಸು,ಕೀರ್ತಿ,ಅನುಕೂಲ
01-02-2026,data\2026\02\01-02-2026.jpg,,ವಿಶ್ವಾವಸು,1947,ಮಕರ/ ಕುಂಭ,06:45,18:20,ವತಿನ ಕೆಲಸವನ್ನು ನಾಳೆಗೆ ಮುಂದೂಡಬೆ,ಭಾರತ ಹುಣ್ಣಿಮೆ,ಸಂತ ರೋಹಿದಾಸ ಜಯಂತಿ,ಸೌದತ್ತಿ ರೇಣುಕಾ ಜಾತ್ರೆ,ಗಂಗಾವತಿ ತಾಲೂಕ,ಆರಾಳ ಗ್ರಾಮದ ರುದ್ರಸ್ವಾಮಿಗಳ ಕಾರಣಿಕೋತ್ಸವ.,,,,,,,,,ಹುಣ್ಣಿಮೆ,27.39,ಪುಷ್ಕ,23.58,ಶ್ರೀತಿ,10.19,ವಿಷ್ಟಿ,16.43,ಉತ್ತರಾಯಣ,ಸೌರ ಶಿಶಿರ,19,ಶುಕ್ಲ,ಮಕರ,ಕರ್ಕ,ಸ.,04:30,06:00,,,,ಮ.,03:00,04:30,,,,ಸ.,12:00,01:30,,,,ಬೆ.,10:30,12:00,,,,ಸ.,05:59,07:29,,,,ಯಶಸ್ತ್ಸು,ಆತಂಕ,ಭಯ,ಸ್ನೇಹ,ಪ್ರಗತಿ,ಸಂತೋಷ,ವಿಳಂಬ,ಸಂತೋಷ,ಸಾಲ,ಸಮಸ್ತೆ,ಖಚು,ಪ್ರತಿರೋಧ
01-03-2026,data\2026\03\01-03-2026.jpg,ವಿಶ್ವಾವಸು ಪರಾಭವ,ವಿಶ್ವಾವಸು ಪರಾಭವ,1947,ಕುಂಭ/ಮೀನ,06:35,18:28,ಾಧಸೋದಕ್ಕೆಪ್ರತಿದಿನದ ಪರಿಶ್ರಮ ಅವ,ಗರಗದ ಚಂದ್ರ ಮೌಳೇಶ್ವರ ರಥ,ರಂಭಾಪುರಿ ಪೀಠ,ಬಾಳೆಹೊನ್ನುರು ಶ್ರೀ ಜಗದ್ಗುರು ರೇಣುಕಾಚಾರ್ಯ,ಜಯಂತಿ,ಪಟ್ಟದಕಲ್ಲು ಪ್ರಲ್ಹಾದಾ ಉತ್ಸವ,ಚಿತ್ರದುರ್ಗ,ತಾ. ಕೊಂಡ್ಲೆಹಳ್ಳಿ ಚೌಡೇಶ್ವರಿ.,,,,,,,ತ್ರಯೋದಶಿ,19.10,ಪುಷ್ಯ,08.34,ಶಾಸ,13.35,ಕೈಲಜ,07.54,ಉತ್ತರಾಯಣ,ಸೌರ ವಸಂತ,17,ಶುಕ್ಲ,ಕುಂಭ,ಕರ್ಕ,ಸ.,04:30,06:00,,,,ಮ.,03:00,04:30,,,,ಮ.,12:00,01:30,,,,UNKNOWN,10:30,12:00,,,,ಸ.,07:57,09:23,,,,ತೊಂದರೆ,ಸಮಸ್ಯೆ,ಅನುಕೂಲ,ಸಂತೋಷ,ನಿರಾಶೆ,ದುಃಖ,ಯಶಸ್ಸು,ಖರ್ಚು,ಪ್ರೋತ್ಸಾಹ,ಭಯ,ಆತಂಕ,ಲಾಭ
01-04-2026,data\2026\04\01-04-2026.jpg,ಚೈತ್ರ|ವೈಶಾಖ,ಪರಾಭವ,1948,ಮೀನ/ಮೇಷ,06:16,18:31,ಶಕ್ತಿಯ ಜೀವನ ದೌರ್ಬಲ್ಯವೇ ಮರಣ,ಸಿದ್ಧಗಂಗಾ ಮಠ ಡಾ|| ಶಿವಕುಮಾರ ಸ್ವಾಮೀಜಿಯವರ,ಜನ್ಮ ದಿನ,ವ್ರತ ಹುಣ್ಣಿಮೆ ಪ್ರಾರಂಭ,ಹನುಮನ ಜಯಂತಿ,ಉಪವಾಸ,ಶ್ರೀ ಜ್ಯೋತಿಬಾ ಯಾತ್ರೆ,ಕೊಲ್ಹಾಪೂರ ಮತ್ತು,ಯಲ್ಲಾಪುರ,ಓಣಿ ಹುಬ್ಬಳ್ಳಿ.,,,,,ಚತುರ್ದಶಿ,07.07,ಉತ್ತರಾ,16.18,ವೃಡ್ಠಿ,14.51,ಏಿಷ್ಟಿ,19.21,ಉತ್ತರಾಯಣ,ರ್ದಶಿ 07.07,18,ಶುಕ್ಲ,ಮೀನ,ಕನ್ನಾ,ಮ.,12:00,01:30,,,,ಬೆ.,10:30,12:00,,,,ಬೆ.,07:30,09:00,,,,ಬೆ.,06:00,07:30,,,,ಬೆ.,08:48,10:28,,,,ಸಹಾಯ,ಸಾಲ,ಭಯ,ಅನುಕೂಲ,ವಿಳಂಬ,ಅಭಿವೃದ್ಧಿ,ಆನಂದ,ಉಡುಗೊರೆ,ಗೌರವ,ಲಾಭ,ಕೀರ್ತಿ,ಪ್ರಯತ್ನ
01-05-2026,data\2026\05\01-05-2026.jpg,ವೈಶಾಖ|ಅಧಿಕ ಜ್ಯೇಷ್ಠ,ಪರಾಭವ,1948,ಮೇಷ/ವೃಷಭ,05:59,18:34,ಶಿಕ್ಷಣ ಇದ್ದವನು ಜಗತ್ತನ್ನೇ ಗೆಲ್ಲಬಲ್ಲ,ಕಾರ್ಮಿಕರ ದಿನಾಚರಣೆ,ಆಗಿ ಹುಣ್ಣಿಮೆ,ವ್ರತ,ಹುಣ್ಣಿಮೆ ಸಮಾಪ್ತಿ ರಾತ್ರಿ 10.52,ಬುದ್ದ,ಜಯಂತಿ,ಕೂರ್ಮ ಜಯಂತಿ,ವೈಶಾಕ ಸ್ನಾನ,ಸಮಾಪ್ತಿ,ಪುಷ್ಟಿಪತಿ ವೈಶಾಕ ಜಯಂತಿ.,,,,ಹುಣ್ಣಿಮೆ,22.53,ಸ್ವಾತಿ,28.35,ಸಿದ್ಧಿ,21.13,ವಿಷ್ಟಿ,10.01,ಉತ್ತರಾಯಣ,ಸೌರ ಗ್ರೀಷ್ಮ,18,ಶುಕ್ಲ,ಮೇಷ,ತುಲಾ,ಬೆ.,10:30,12:00,,,,ಬೆ.,07:30,09:00,,,,ಮ.,05:00,04:30,,,,ಮ.,01:30,03:00,,,,ಸ.,06:56,08:41,,,,ಸ್ನೇಹ,ಒಳ್ಳೆಯದು,ತಾಳ್ಮೆ,ಅನುಕೂಲ,ಯಶಸ್ಸು,ಸಂತೋಷ,ಶಾಂತಿ,ಶುಭ,ಯೋಗ,ಸೌಮೃತೆ,ಸಾಲೆ,ಪ್ರತಿರೋಧ
01-06-2026,data\2026\06\01-06-2026.jpg,ಅ.ಜ್ಯೇಷ್ಠ/ನಿ.ಜ್ಯೇಷ್ಠ,ಪರಾಭವ ನಾಮ,1948,ವೃಷಭ/ಮಿಥುನ,05:52,18:42,"ಕೀಳುವುದು ಸಹಜ, ಎದ್ದುಸಿಲ್ಲುವುದು ಕ",ಜಾಗತಿಕ ಪಾಲಕರು ದಿನ,ಅಧಿಕ ಜ್ಯೇಷ್ಠಮಾಸ,ಕೃಷ್ಣಪಕ್ಷ ಆರಂಭ,ಪೋಷಕರ ಜಾಗತಿಕ ದಿನ,ವಿಶ್ವ ಹಾಲಿನ ದಿನ,,,,,,,,,ಪ್ರತಿಪದಾ,16.38,ಜ್ಯೇಷ್ಠಾ,19.09,ಸಿದ್ಧ,06.19,ತೈತಿಲ,29.50,ಉತ್ತರಾಯಣ,ಸೌರ ಗ್ರೀಷ್ಮ,18,ಕೃಷ್ಣ,ವಷಭ,ವೃಶ್ಚಿಕ,ಬೆ.,07:30,09:00,,,,ಮ.,0113,03:00,,,,ಬೆ.,10:30,12:00,,,,ಬೆ.,09:00,10:30,,,,ಬೆ.,09:16,11:03,,,,ಅನುಕೂಲ,ವಿಳಂಬ,ಯಶಸ್ತು,ಗೊಂದಲ,ಭಕ್ತಿ,ದುರಾಸೆ,ಚಿಂತೆ,ಯಶಸ್ಸು,ಒಳ್ಳೆಯದು,ಆಸಕ್ಕಿ,ತಾಳ್ಮೆ,ವಿಶ್ರಾಂತಿ
01-07-2026,data\2026\07\01-07-2026.jpg,ನಿಜ ಜ್ಯೇಷ್ಠ/ಆಷಾಢ,ಪರಾಭವ,1948,ಮಿಥುನ/ಕರ್ಕ,05:57,18:49,ಶಲ್ರದೇ ಮುಂದುವರಿಯುವವನೇ ಗೆಲ್ಲುವವನ,ವೈದ್ಯರ / ಚಾರ್ಟೆಡ್‌ ಅಕೌಂಟಂಟ್‌ ದಿನ,ಪತ್ರಿಕಾ ದಿನಾಚರಣೆ,,,,,,,,,,,,ಪ್ರತಿಪದಾ,07.39,ಪೂ.ಷಾ,06.52,ಐಂದ್ರ,16.04,ತೈತಿಲ,20.40,ದಕ್ಷಿಣಾಯನ,ಸೌರ ವರ್ಷಾ,17,ಕೃಷ್ಣ,ಮಿಹುನ,ಧನು,ಸ.,12:00,01:30,,,,ಬೆ.,10:30,12:00,,,,ಬೆ.,07:30,09:00,,,,ಬೆ.,06:00,07:30,,,,ಬೆ.,01:29,03:17,,,,ಮೆಚ್ಚುಗೆ,ಪ್ರೋತ್ಸಾಹ,ಬಲ,ಲಾಭ,ವಿನಯ,ಗೌರವ,ಸ್ನೇಹ,ಯಶಸ್ಸು,ಒಳ್ಳೆಯ ಕೆಲಸ,ಒಳೆಯದು,ತಾಳ್ಮೆ,ಚಿಂತೆ
01-08-2026,data\2026\08\01-08-2026.jpg,ಆಷಾಢ|ಶ್ರಾವಣ,ಪರಾಭವ,1948,ಕರ್ಕ/ಸಿಂಹ,06:05,18:46,ಯ ಕಷ್ಟವಾದರೂ ಕನಸುಗಳನ್ನುಬಿಡಬೇ,ವಿಶ್ವ ಸ್ತನಪಾನ ದಿನ,ಲೋಕಮಾನ್ಯ,ಬಾಲಗಂಗಾಧರ ತಿಲಕ ಪುಣ್ಯದಿನ,ಸಂತ,ತುಳಸೀದಾಸರ ಪುಣ್ಯತಿಥಿ,,,,,,,,,ತೃತೀಯಾ,23.08,ಶತಭಿಷಾ,20.46,ಶೋಭನ,23.23,ವಣೆಜ,10.55,ದಕ್ಷಿಣಾಯನ,ಸ ರ್ಷಾ,17,ಕೃಷ್ಣ,ಕರ್ಕ,ಕುಂಭ,ಬೆ.,09:00,10:30,,,,ಬೆ.,06:00,07:30,,,,ಮ.,01:30,05:00,,,,ಮ.,12:00,01:30,,,,ಮ.,01:09,02:51,,,,ನಿರಾಶೆ,ಗೌರವ,ಸ್ಟೇಹ,ಸೌಮ್ಯತೆ,ದುಃಖ,ಕೋಪ,ಯಶಸ್ಸು,ತೊಂದರೆ,ಅಭಿವೃದ್ಧಿ,ಆನಂದ,ಅಭಿವೃದ್ಧಿ,ಲಾಭ
01-09-2026,data\2026\09\01-09-2026.jpg,ಶ್ರಾವಣ/ಭಾದ್ರಪದ,ಪರಾಭವ,1948,ಸಿಂಹ/ಕನ್ಯಾ,06:08,18:30,"ಕಷ್ಟತಾತಾಲಿಕ, ಧೈರ್ಯ ಶಾಶತ",ಮಂಗಳ ಗೌರಿ ಪೂಜೆ,ದ್ರೌಪದಿ ಜಯಂತಿ,ಮನಗೂಳಿ,ಬಸವೇಶ್ವರ ರಥ,ಶ್ರೀ ಟೆಂಬೇಸ್ವಾಮಿ ಜಯಂತಿ,ಕ್ಯಾಲಕೊಂಡ ಹಿರೇಮಠ ಅಡವೆಯ್ಯಸ್ವಾಮಿ,ದ್‌,ಪುಣ್ಯರಾಧನೆ.,,,,,,ಚತುರ್ಥಿ,07.42,ಅಶ್ವಿನಿ,26.42,ವೃದ್ಧಿ,2.39,ಕೌಲವ,19.00,ದಕ್ಷಿಣಾಯನ,ರ್ಥಿ 07.42,16,ಕೃಷ್ಣ,ಸಿಂಹ,ಮೇಷ,ಮ.,03:00,04:30,,,,ಮ.,12:00,01:30,,,,ಬೆ.,09:00,10:30,,,,ಬೆ.,07:30,09:00,,,,UNKNOWN,01:01,,,,,ಅನುಕೂಲ,ಮಧುರ ಮಾತು,ಉಡುಗೊರೆ,ಸಮಸ್ಯ,ವಿಶ್ರಾಂತಿ,ಖರ್ಚು,ತೊಂದರೆ,ಭಯ,ಪ್ರತಿರೋಧ,ಒಳೆಯದು,ಲಾಭ,ಕೀರ್ತಿ
01-10-2026,data\2026\10\01-10-2026.jpg,ಭಾದ್ರಪದ/ಅಶ್ವೀನ,ಪರಾಭವ,1948,ಕನ್ಯಾ/ ತುಲಾ,06:09,18:09,ವನ ಕಠಿಣವಾದಾಗಲೇ ನಮ್ಮಶಕಿ ಹೊರಹೊಃ,ಕೊಪ್ಪಳ ಜಿ. ಉಪ್ಪಳದ ಶ್ರೀ ರಾಜಯೋಗಿ,ಹನುಮಂತಾವದೂತರ ಆರಾಧನೆ,ಮೈಸೂರು ಕೃಷ್ಣಸ್ವಾಮಿ,ಪುಣ್ಯತಿಥಿ,ವಿಶ್ವ ಹಿರಿಯರ ದಿನ,ಕೊಪ್ಪಳ ತಾ.,ಮುರ್ಲಾಪೂರ ವೇ. ಕೊಟ್ರಯ್ಯಜ್ಜನವರ ಪುಣ್ಯಾರಾಧನೆ.,,,,,,,ಪಂಚಮಿ,12.36,ರೋಹಿಣಿ,28.27,ಸಿದ್ಧಿ,21.18,ಗರಜ,23.25,ದಕ್ಷಿಣಾಯನ,ಸೌರ ಶರದ,15,ಕೃಷ್ಣ,ಕನ್ನಾ,ವೃಷಭ,ಮ.,01:30,03:00,,,,ಬೆ.,9:00,10:30,,,,ಬೆ.,06:00,07:30,,,,ಮ.,03:00,04:3,,,,ಬೆ.,03:48,05:17,,,,ಪ್ರೋತ್ಸಾಹ,ನಿರಾಶೆ,ವಿನಯ,ವಿಶ್ರಾಂತಿ,ಖರ್ಚು,ಸಂತೋಷ,ಯಶಸ್ಸು,ಆತಂಕ,ಅನುಕೂಲ,ಮರೆವ,ಸಮಸ್ಯೆ,ಪ್ರಗತಿ
